区分コード,担当者名,完成部番,単位数分子1,単位数分母1,前工程1,単位数分子2,単位数分母2,前工程2,単位数分子3,単位数分母3,前工程3,単位数分子4,単位数分母4,前工程4,単位数分子5,単位数分母5,前工程5,単位数分子6,単位数分母6,前工程6
A,伊東,KD64-00504AB,1.0,1,MV-KD64-00504AB,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
A,伊東,KD64-00208AB,1.0,1,MV-KD64-00208AB,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
A,伊東,KD64-00208AA,1.0,1,MV-KD64-00208AA,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
A,伊東,KD64-00207AC,1.0,1,MV-KD64-00207AC,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
A,伊東,KD64-00206AA,1.0,1,MV-KD64-00206AA,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
A,伊東,K-30607BA,1.0,1,MV-K-30607BA,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
A,伊東,K-13314EA,1.0,1,MC-K-13314EA,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
A,伊東,K-18406B,1.0,1,MV-K-18406B,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
A,伊東,K-13305EA,1.0,1,MC-K-13305EA,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
A,伊東,K-12407F,1.0,1,MV-K-12407F,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
A,伊東,K-12406B2,1.0,1,MV-K-12406B2,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
A,伊東,K-12406A2,1.0,1,MV-K-12406A2,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
A,伊東,K-12405JA,1.0,1,MV-K-12405JA,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
A,伊東,K-12405HB,1.0,1,MV-K-12405HB,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
